New York Knicks,Charlotte Hornets,New York Knicks
Orlando Magic,Washington Wizards,Washington Wizards
Philadelphia 76ers,Chicago Bulls,Chicago Bulls
Phoenix Suns,Minnesota Timberwolves,Minnesota Timberwolves
Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers
Sacramento Kings,Houston Rockets,Houston Rockets
Utah Jazz,Atlanta Hawks,Utah Jazz
Charlotte Hornets,New York Knicks,Charlotte Hornets
Golden State Warriors,Minnesota Timberwolves,Golden State Warriors
Miami Heat,Memphis Grizzlies,Memphis Grizzlies
Oklahoma City Thunder,Detroit Pistons,Oklahoma City Thunder
Washington Wizards,San Antonio Spurs,San Antonio Spurs
Brooklyn Nets,Sacramento Kings,Sacramento Kings
Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks
Indiana Pacers,Los Angeles Clippers,Indiana Pacers
Los Angeles Lakers,Atlanta Hawks,Los Angeles Lakers
Orlando Magic,Milwaukee Bucks,Milwaukee Bucks
Philadelphia 76ers,Cleveland Cavaliers,Cleveland Cavaliers
Phoenix Suns,Denver Nuggets,Denver Nuggets
Portland Trail Blazers,Houston Rockets,Houston Rockets
Golden State Warriors,Atlanta Hawks,Golden State Warriors
Memphis Grizzlies,Charlotte Hornets,Charlotte Hornets
Miami Heat,Boston Celtics,Boston Celtics
Minnesota Timberwolves,Utah Jazz,Utah Jazz
New York Knicks,Oklahoma City Thunder,Oklahoma City Thunder
Toronto Raptors,Philadelphia 76ers,Toronto Raptors
Washington Wizards,Sacramento Kings,Washington Wizards
Brooklyn Nets,Los Angeles Clippers,Brooklyn Nets
Charlotte Hornets,Detroit Pistons,Detroit Pistons
Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks
New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans
San Antonio Spurs,Orlando Magic,Orlando Magic
Utah Jazz,Houston Rockets,Utah Jazz
Boston Celtics,Detroit Pistons,Detroit Pistons
Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers
Dallas Mavericks,San Antonio Spurs,San Antonio Spurs
Denver Nuggets,Miami Heat,Miami Heat
Minnesota Timberwolves,New York Knicks,New York Knicks
Oklahoma City Thunder,Washington Wizards,Oklahoma City Thunder
Phoenix Suns,Atlanta Hawks,Phoenix Suns
Portland Trail Blazers,Indiana Pacers,Portland Trail Blazers
Toronto Raptors,Memphis Grizzlies,Toronto Raptors
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks
Charlotte Hornets,Dallas Mavericks,Charlotte Hornets
Cleveland Cavaliers,Los Angeles Clippers,Los Angeles Clippers
Golden State Warriors,Houston Rockets,Houston Rockets
Memphis Grizzlies,Orlando Magic,Memphis Grizzlies
Utah Jazz,Miami Heat,Miami Heat
